idx,Date,count,Day_Of_Wk
0,2013-08-06,1,Tues
1,2013-08-07,17,Weds
2,2013-08-08,12,Thurs
3,2013-08-09,15,Fri
4,2013-08-10,9,Sat
5,2013-08-11,5,Sun
6,2013-08-12,32,Mon
7,2013-08-13,26,Tues
8,2013-08-14,25,Weds
9,2013-08-15,32,Thurs
10,2013-08-16,24,Fri
11,2013-08-17,35,Sat
12,2013-08-18,4,Sun
13,2013-08-19,19,Mon
14,2013-08-20,33,Tues
15,2013-08-21,52,Weds
16,2013-08-22,12,Thurs
17,2013-08-23,19,Fri
18,2013-08-24,4,Sat
19,2013-08-25,5,Sun
20,2013-08-26,41,Mon
21,2013-08-27,29,Tues
22,2013-08-28,34,Weds
23,2013-08-29,12,Thurs
24,2013-08-30,15,Fri
25,2013-08-31,19,Sat
26,2013-09-01,35,Sun
27,2013-09-02,8,Mon
28,2013-09-03,4,Tues
29,2013-09-04,37,Weds
30,2013-09-05,11,Thurs
31,2013-09-06,15,Fri
32,2013-09-07,4,Sat
33,2013-09-08,11,Sun
34,2013-09-09,13,Mon
35,2013-09-10,17,Tues
36,2013-09-11,13,Weds
37,2013-09-12,22,Thurs
38,2013-09-13,30,Fri
39,2013-09-14,9,Sat
40,2013-09-15,5,Sun
41,2013-09-16,15,Mon
42,2013-09-17,33,Tues
43,2013-09-18,21,Weds
44,2013-09-19,14,Thurs
45,2013-09-20,14,Fri
46,2013-09-21,12,Sat
47,2013-09-22,13,Sun
48,2013-09-23,5,Mon
49,2013-09-24,24,Tues
50,2013-09-25,13,Weds
51,2013-09-26,20,Thurs
52,2013-09-27,13,Fri
53,2013-09-28,14,Sat
54,2013-09-29,20,Sun
55,2013-09-30,24,Mon
56,2013-10-01,34,Tues
57,2013-10-02,5,Weds
58,2013-10-03,5,Thurs
59,2013-10-04,6,Fri
60,2013-10-05,20,Sat
61,2013-10-06,12,Sun
62,2013-10-07,33,Mon
63,2013-10-08,19,Tues
64,2013-10-09,4,Weds
65,2013-10-10,10,Thurs
66,2013-10-11,10,Fri
67,2013-10-12,28,Sat
68,2013-10-13,8,Sun
69,2013-10-14,18,Mon
70,2013-10-15,20,Tues
71,2013-10-16,25,Weds
72,2013-10-17,17,Thurs
73,2013-10-18,6,Fri
74,2013-10-19,23,Sat
75,2013-10-20,10,Sun
76,2013-10-21,8,Mon
77,2013-10-22,7,Tues
78,2013-10-23,13,Weds
79,2013-10-24,7,Thurs
80,2013-10-25,13,Fri
81,2013-10-26,8,Sat
82,2013-10-27,8,Sun
83,2013-10-28,25,Mon
84,2013-10-29,2,Tues
85,2013-10-30,6,Weds
86,2013-10-31,13,Thurs
87,2013-11-01,14,Fri
88,2013-11-02,10,Sat
89,2013-11-03,11,Sun
90,2013-11-04,15,Mon
91,2013-11-05,9,Tues
92,2013-11-06,16,Weds
93,2013-11-07,21,Thurs
94,2013-11-08,11,Fri
95,2013-11-09,11,Sat
96,2013-11-10,24,Sun
97,2013-11-11,7,Mon
98,2013-11-12,30,Tues
99,2013-11-13,8,Weds
100,2013-11-14,16,Thurs
101,2013-11-15,18,Fri
102,2013-11-16,15,Sat
103,2013-11-17,18,Sun
104,2013-11-18,19,Mon
105,2013-11-19,16,Tues
106,2013-11-20,18,Weds
107,2013-11-21,17,Thurs
108,2013-11-22,3,Fri
109,2013-11-23,7,Sat
110,2013-11-24,10,Sun
111,2013-11-25,10,Mon
112,2013-11-26,9,Tues
113,2013-11-27,15,Weds
114,2013-11-28,9,Thurs
115,2013-11-29,36,Fri
116,2013-11-30,7,Sat
117,2013-12-01,5,Sun
118,2013-12-02,20,Mon
119,2013-12-03,1,Tues
120,2013-12-04,8,Weds
121,2013-12-05,12,Thurs
122,2013-12-06,2,Fri
123,2013-12-07,1,Sat
124,2013-12-09,1,Mon
125,2013-12-10,1,Tues
126,2013-12-13,3,Fri
127,2013-12-16,1,Mon
128,2013-12-17,12,Tues
129,2013-12-24,1,Tues
130,2013-12-26,9,Thurs
131,2013-12-27,15,Fri
132,2013-12-28,5,Sat
133,2013-12-29,21,Sun
134,2013-12-30,17,Mon
135,2013-12-31,11,Tues
136,2014-01-01,1,Weds
137,2014-01-02,26,Thurs
